combo_idx,run_id,params,zero_trade_pct,invalid_pct,walkforward_executed_true_pct,mc_trigger_rate,trade_count,tpm,best_PF,best_expectancy,best_exp_lcb,best_maxDD,classification
0,20260301_141219_c236715f9001_stage13,"{'entry_threshold': 0.22, 'retest_atr_k': 0.6, 'trend_pullback_k': 0.8}",0.0,100.0,0.0,100.0,31.0,9.303876615256357,0.7539405343723471,-22.87252593142849,-51.97414004963593,0.17181609636898956,NO_EDGE
1,20260301_141220_9a25c2b09ff0_stage13,"{'entry_threshold': 0.22, 'retest_atr_k': 0.6, 'trend_pullback_k': 1.2}",0.0,100.0,0.0,100.0,33.5,10.054189245518966,0.7162702129519433,-26.536240432390066,-54.69854873863689,0.1846949543570434,NO_EDGE
2,20260301_141221_427b5c9aea37_stage13,"{'entry_threshold': 0.22, 'retest_atr_k': 0.6, 'trend_pullback_k': 1.6}",0.0,100.0,0.0,100.0,33.5,10.054189245518966,0.8205071384336035,-16.256926608159638,-45.45217973861759,0.18416286056151612,NO_EDGE
3,20260301_141222_bf41cb6f55be_stage13,"{'entry_threshold': 0.22, 'retest_atr_k': 0.8, 'trend_pullback_k': 0.8}",0.0,100.0,0.0,100.0,32.5,9.754064193413923,0.9008942870868241,-10.486315114164999,-49.22360601901252,0.16729255033417653,NO_EDGE
4,20260301_141222_a6f2cd10b71c_stage13,"{'entry_threshold': 0.22, 'retest_atr_k': 0.8, 'trend_pullback_k': 1.2}",0.0,100.0,0.0,100.0,35.0,10.504376823676532,0.6798880961150007,-30.178502729541833,-57.41712901290025,0.19886492712618656,NO_EDGE
5,20260301_141223_7e25cf5ce0f6_stage13,"{'entry_threshold': 0.22, 'retest_atr_k': 0.8, 'trend_pullback_k': 1.6}",0.0,100.0,0.0,100.0,35.5,10.654439349729053,0.7773866616191352,-20.358416895865147,-48.61278629350808,0.19834208110194923,NO_EDGE
6,20260301_141224_661ce893d30c_stage13,"{'entry_threshold': 0.22, 'retest_atr_k': 1.0, 'trend_pullback_k': 0.8}",0.0,100.0,0.0,100.0,36.0,10.804501875781575,0.8666576475867332,-11.55770862624624,-39.17103188216461,0.16969555435338898,NO_EDGE
7,20260301_141224_78e7b866ad50_stage13,"{'entry_threshold': 0.22, 'retest_atr_k': 1.0, 'trend_pullback_k': 1.2}",0.0,100.0,0.0,100.0,38.0,11.404751979991662,0.8263307123328717,-15.149526953969906,-41.95888102212016,0.1825004882106896,NO_EDGE
8,20260301_141225_8e4728421f1d_stage13,"{'entry_threshold': 0.22, 'retest_atr_k': 1.0, 'trend_pullback_k': 1.6}",0.0,100.0,0.0,100.0,38.5,11.554814506044185,0.9310052206128613,-5.835073981753817,-33.43805745512558,0.18196696223732078,NO_EDGE
9,20260301_141226_13022bd4fa1d_stage13,"{'entry_threshold': 0.28, 'retest_atr_k': 0.6, 'trend_pullback_k': 0.8}",0.0,100.0,0.0,100.0,16.5,4.952063359733222,0.656167873584856,-34.26813350084617,-78.46265374956707,0.10241036111187295,NO_EDGE
10,20260301_141226_d5ec5c75cbf3_stage13,"{'entry_threshold': 0.28, 'retest_atr_k': 0.6, 'trend_pullback_k': 1.2}",0.0,100.0,0.0,100.0,19.0,5.702375989995832,0.6627671249508365,-36.56060385023633,-78.11685244214405,0.11916310564366094,NO_EDGE
11,20260301_141227_d0eaa9db9f31_stage13,"{'entry_threshold': 0.28, 'retest_atr_k': 0.6, 'trend_pullback_k': 1.6}",0.0,100.0,0.0,100.0,20.0,6.002501042100875,0.9389356801948893,-6.111374790295979,-50.38902207585741,0.09291831478412535,NO_EDGE
12,20260301_141228_fd8472438975_stage13,"{'entry_threshold': 0.28, 'retest_atr_k': 0.8, 'trend_pullback_k': 0.8}",0.0,100.0,0.0,100.0,17.5,5.252188411838266,0.9198576305980523,-8.635054019837268,-56.295710136291,0.1303041587138106,NO_EDGE
13,20260301_141228_81c0b3fa732e_stage13,"{'entry_threshold': 0.28, 'retest_atr_k': 0.8, 'trend_pullback_k': 1.2}",0.0,100.0,0.0,100.0,20.0,6.002501042100875,0.8677600708192218,-13.73309912063707,-56.21497700743328,0.1060963413943866,NO_EDGE
