combo_idx,run_id,params,zero_trade_pct,invalid_pct,walkforward_executed_true_pct,mc_trigger_rate,trade_count,tpm,best_PF,best_expectancy,best_exp_lcb,best_maxDD,classification
0,20260301_141338_2916fd115888_stage13,"{'compression_z': -1.2, 'entry_threshold': 0.22, 'expansion_z': 0.6}",100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT_DATA
1,20260301_141339_7f13668929d6_stage13,"{'compression_z': -1.2, 'entry_threshold': 0.22, 'expansion_z': 0.8}",100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT_DATA
2,20260301_141339_794c0e2bcc51_stage13,"{'compression_z': -1.2, 'entry_threshold': 0.22, 'expansion_z': 1.0}",100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT_DATA
3,20260301_141340_a56a0b005d6c_stage13,"{'compression_z': -1.2, 'entry_threshold': 0.28, 'expansion_z': 0.6}",100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT_DATA
4,20260301_141340_d9d203778782_stage13,"{'compression_z': -1.2, 'entry_threshold': 0.28, 'expansion_z': 0.8}",100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT_DATA
5,20260301_141341_f1d63fabc582_stage13,"{'compression_z': -1.2, 'entry_threshold': 0.28, 'expansion_z': 1.0}",100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT_DATA
6,20260301_141342_256d3d1fd581_stage13,"{'compression_z': -1.2, 'entry_threshold': 0.34, 'expansion_z': 0.6}",100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT_DATA
7,20260301_141342_e722108ed626_stage13,"{'compression_z': -1.2, 'entry_threshold': 0.34, 'expansion_z': 0.8}",100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT_DATA
8,20260301_141343_0fb978f32ca0_stage13,"{'compression_z': -1.2, 'entry_threshold': 0.34, 'expansion_z': 1.0}",100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT_DATA
9,20260301_141344_b6d1a6bbe989_stage13,"{'compression_z': -0.8, 'entry_threshold': 0.22, 'expansion_z': 0.6}",100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT_DATA
