families,composer_mode,run_id,classification,zero_trade_pct,invalid_pct,walkforward_executed_true_pct,mc_trigger_rate,trade_count,tpm,best_exp_lcb,best_pf
price,none,20260301_151007_d9a03fc58800_stage13,NO_EDGE,0.0,100.0,0.0,100.0,15.0,4.501875781575657,-39.07769114006838,1.289905670431899
volatility,none,20260301_151008_93c62dfff129_stage13,INSUFFICIENT_DATA,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
flow,none,20260301_151009_9a3a6086d47e_stage13,NO_EDGE,0.0,100.0,0.0,100.0,47.5,14.25593997498958,-42.61601882358132,0.9052613630854253
"price,volatility",vote,20260301_151009_0bff41bf8329_stage13,NO_EDGE,33.33333333333333,100.0,0.0,66.66666666666666,10.0,3.0012505210504377,0.0,1.289905670431899
"price,volatility",weighted_sum,20260301_151010_c05faee0c2ea_stage13,NO_EDGE,66.66666666666666,100.0,0.0,33.33333333333333,5.0,1.5006252605252188,0.0,1.289905670431899
"price,volatility",gated,20260301_151011_cc9e2c13368e_stage13,NO_EDGE,66.66666666666666,100.0,0.0,33.33333333333333,5.0,1.5006252605252188,0.0,1.289905670431899
"price,flow",vote,20260301_151012_185d8d3153af_stage13,NO_EDGE,0.0,100.0,0.0,100.0,40.333333333333336,12.105043768236763,-34.38239341040033,1.289905670431899
"price,flow",weighted_sum,20260301_151013_c111d46715a9_stage13,NO_EDGE,0.0,100.0,0.0,100.0,23.833333333333332,7.152980408503542,-32.63997740355485,1.4285999801063558
"price,flow",gated,20260301_151014_245a68616cd9_stage13,NO_EDGE,0.0,100.0,0.0,100.0,22.5,6.752813672363485,-39.07769114006838,1.289905670431899
"volatility,flow",vote,20260301_151015_86eefd04c1e8_stage13,NO_EDGE,33.33333333333333,100.0,0.0,66.66666666666666,31.666666666666668,9.503959983326387,0.0,0.9052613630854253
"volatility,flow",weighted_sum,20260301_151016_cc3bc22f171d_stage13,NO_EDGE,66.66666666666666,100.0,0.0,33.33333333333333,15.833333333333334,4.751979991663194,0.0,0.9052613630854253
"volatility,flow",gated,20260301_151017_a04126d2b3a0_stage13,NO_EDGE,66.66666666666666,100.0,0.0,33.33333333333333,15.833333333333334,4.751979991663194,0.0,0.9052613630854253
"price,volatility,flow",vote,20260301_151018_cba198014737_stage13,NO_EDGE,25.0,100.0,0.0,75.0,30.25,9.078782826177573,0.0,1.289905670431899
"price,volatility,flow",weighted_sum,20260301_151019_04d6bf5f587c_stage13,NO_EDGE,50.0,100.0,0.0,50.0,15.625,4.689453939141309,0.0,1.289905670431899
"price,volatility,flow",gated,20260301_151020_f581d0bd5fd9_stage13,NO_EDGE,50.0,100.0,0.0,50.0,15.625,4.689453939141309,0.0,1.289905670431899
