candidate_id,source_candidate_id,behavioral_fingerprint,rank_score,predicted_tradability,replay_worthiness,candidate_class,trade_density_risk,cost_fragility_risk,regime_concentration_risk,hold_sanity_risk,overlap_duplication_risk,clustering_risk,thin_evidence_risk,transfer_risk_prior,aggregate_risk,activation_density,entry_overlap_score,exit_overlap_score,pnl_correlation_risk,failure_pattern_similarity,side_distribution,hold_distribution,regime_activation_map
s47_632bf69f5a613f84,s39_2b7ac5763ba9b9,63fcd638208295809749,0.4474142388888888,0.42387569999999997,1,promising_but_unproven,0.0,0.5,0.273743,0.125,1.0,1.0,0.0,0.0,0.362342875,0.24861111,1.0,0.58888889,1.0,0.86296296,"{""long_share"": 0.391061, ""short_share"": 0.608939}","{""expected_hold_bars"": 0}","{""compression"": 0.273743, ""range"": 0.184358, ""shock"": 0.189944, ""trend_down"": 0.217877, ""trend_up"": 0.134078}"
s47_b3b2ba6d8ef9cd3d,s39_78aea15b158bae,c15153efb71b8db3d826,0.4474142388888888,0.42387569999999997,1,promising_but_unproven,0.0,0.5,0.273743,0.125,1.0,1.0,0.0,0.0,0.362342875,0.24861111,1.0,0.58888889,1.0,0.86296296,"{""long_share"": 0.391061, ""short_share"": 0.608939}","{""expected_hold_bars"": 0}","{""compression"": 0.273743, ""range"": 0.184358, ""shock"": 0.189944, ""trend_down"": 0.217877, ""trend_up"": 0.134078}"
s47_2eb33255ccc42afd,s39_6477f4ddac2665,efa1ec9ac1549ad5d790,0.44452673888888883,0.42387569999999997,1,promising_but_unproven,0.0,0.5,0.273743,0.125,1.0,1.0,0.0,0.0,0.362342875,0.24861111,1.0,0.58888889,1.0,0.86296296,"{""long_share"": 0.391061, ""short_share"": 0.608939}","{""expected_hold_bars"": 0}","{""compression"": 0.273743, ""range"": 0.184358, ""shock"": 0.189944, ""trend_down"": 0.217877, ""trend_up"": 0.134078}"
s47_5af55985905843b1,s39_924a3b2912d2eb,d2190e826d4c93a427b2,0.44452673888888883,0.42387569999999997,1,promising_but_unproven,0.0,0.5,0.273743,0.125,1.0,1.0,0.0,0.0,0.362342875,0.24861111,1.0,0.58888889,1.0,0.86296296,"{""long_share"": 0.391061, ""short_share"": 0.608939}","{""expected_hold_bars"": 0}","{""compression"": 0.273743, ""range"": 0.184358, ""shock"": 0.189944, ""trend_down"": 0.217877, ""trend_up"": 0.134078}"
s47_6f127114055f4bc9,s39_18baa76a204a8e,ad3e95d3555deb769319,0.44452673888888883,0.42387569999999997,1,promising_but_unproven,0.0,0.5,0.273743,0.125,1.0,1.0,0.0,0.0,0.362342875,0.24861111,1.0,0.58888889,1.0,0.86296296,"{""long_share"": 0.391061, ""short_share"": 0.608939}","{""expected_hold_bars"": 0}","{""compression"": 0.273743, ""range"": 0.184358, ""shock"": 0.189944, ""trend_down"": 0.217877, ""trend_up"": 0.134078}"
s47_6c751e93d49ebfbf,s39_78aea15b158bae,0049dd5759eae70cbdc8,0.4430142388888888,0.42387569999999997,1,promising_but_unproven,0.0,0.5,0.273743,0.125,1.0,1.0,0.0,0.0,0.362342875,0.24861111,1.0,0.58888889,1.0,0.86296296,"{""long_share"": 0.391061, ""short_share"": 0.608939}","{""expected_hold_bars"": 0}","{""compression"": 0.273743, ""range"": 0.184358, ""shock"": 0.189944, ""trend_down"": 0.217877, ""trend_up"": 0.134078}"
s47_e22e26062fd0f8ee,s39_2b7ac5763ba9b9,31db5d10caf09cfbbe90,0.4430142388888888,0.42387569999999997,1,promising_but_unproven,0.0,0.5,0.273743,0.125,1.0,1.0,0.0,0.0,0.362342875,0.24861111,1.0,0.58888889,1.0,0.86296296,"{""long_share"": 0.391061, ""short_share"": 0.608939}","{""expected_hold_bars"": 0}","{""compression"": 0.273743, ""range"": 0.184358, ""shock"": 0.189944, ""trend_down"": 0.217877, ""trend_up"": 0.134078}"
s47_66781f96aec8d3a9,s39_18baa76a204a8e,3c24be991c81334591c4,0.4401267388888888,0.42387569999999997,1,promising_but_unproven,0.0,0.5,0.273743,0.125,1.0,1.0,0.0,0.0,0.362342875,0.24861111,1.0,0.58888889,1.0,0.86296296,"{""long_share"": 0.391061, ""short_share"": 0.608939}","{""expected_hold_bars"": 0}","{""compression"": 0.273743, ""range"": 0.184358, ""shock"": 0.189944, ""trend_down"": 0.217877, ""trend_up"": 0.134078}"
s47_70766443ab0946b6,s39_6477f4ddac2665,a86174977917265dd84d,0.4401267388888888,0.42387569999999997,1,promising_but_unproven,0.0,0.5,0.273743,0.125,1.0,1.0,0.0,0.0,0.362342875,0.24861111,1.0,0.58888889,1.0,0.86296296,"{""long_share"": 0.391061, ""short_share"": 0.608939}","{""expected_hold_bars"": 0}","{""compression"": 0.273743, ""range"": 0.184358, ""shock"": 0.189944, ""trend_down"": 0.217877, ""trend_up"": 0.134078}"
s47_f219b1d7bb4bd4d7,s39_924a3b2912d2eb,854afec9c9071edd46c6,0.4401267388888888,0.42387569999999997,1,promising_but_unproven,0.0,0.5,0.273743,0.125,1.0,1.0,0.0,0.0,0.362342875,0.24861111,1.0,0.58888889,1.0,0.86296296,"{""long_share"": 0.391061, ""short_share"": 0.608939}","{""expected_hold_bars"": 0}","{""compression"": 0.273743, ""range"": 0.184358, ""shock"": 0.189944, ""trend_down"": 0.217877, ""trend_up"": 0.134078}"
s47_07f5d74fb6699259,s39_95a2b0f878c371,24053d45518ba4fff74d,0.43971423888888883,0.42387569999999997,1,promising_but_unproven,0.0,0.5,0.273743,0.125,1.0,1.0,0.0,0.0,0.362342875,0.24861111,1.0,0.58888889,1.0,0.86296296,"{""long_share"": 0.391061, ""short_share"": 0.608939}","{""expected_hold_bars"": 0}","{""compression"": 0.273743, ""range"": 0.184358, ""shock"": 0.189944, ""trend_down"": 0.217877, ""trend_up"": 0.134078}"
s47_1bb22e08faebe5ae,s39_50d4f67dbdfa4a,521b4cfbfbeb489ea31b,0.43971423888888883,0.42387569999999997,1,promising_but_unproven,0.0,0.5,0.273743,0.125,1.0,1.0,0.0,0.0,0.362342875,0.24861111,1.0,0.58888889,1.0,0.86296296,"{""long_share"": 0.391061, ""short_share"": 0.608939}","{""expected_hold_bars"": 0}","{""compression"": 0.273743, ""range"": 0.184358, ""shock"": 0.189944, ""trend_down"": 0.217877, ""trend_up"": 0.134078}"
